id	分類	機能名	概要	入力	出力	利用者
fun-029	勤怠データの分析・レポート	時間外労働集計レポート自動生成機能	労働基準法に準拠した時間外労働の集計レポートを自動で生成する。	集計期間	時間外労働集計レポート（法令遵守形式）	人事部門, 経理部門
fun-030	勤怠データの分析・レポート	休憩取得状況レポート自動生成機能	労働基準法に準拠した休憩取得状況のレポートを自動で生成する。	集計期間	休憩取得状況レポート（法令遵守形式）	人事部門, 経理部門
fun-031	勤怠データの分析・レポート	年次有給休暇取得義務対応レポート生成機能	労働基準法改正（年5日取得義務化）に対応した年次有給休暇の取得状況レポートを生成する。	対象年度、従業員情報	年次有給休暇取得義務対応レポート	人事部門
fun-032	勤怠データの分析・レポート	勤怠データ検索機能	過去の勤怠データを日付範囲、従業員名、部署、従業員IDなどで検索できる。	検索条件（日付範囲、氏名、部署、IDなど）	検索結果としての勤怠データ一覧	管理職, 人事部門, 経理部門
fun-033	勤怠データの分析・レポート	勤怠データ詳細参照機能	検索した勤怠データの詳細（打刻時刻、休憩時間、申請履歴など）を個別に参照できる。	勤怠データID、従業員ID	勤怠データの詳細情報	管理職, 人事部門, 経理部門
fun-034	給与システムとの連携	給与システム連携データ自動生成機能	毎月の勤怠締め日において、総労働時間、残業時間、深夜労働時間、休日出勤時間などの集計データを給与計算システムが取り込める形式（CSV, APIなど）で自動生成する。	締め日、集計対象期間	給与計算用勤怠データファイルまたはAPI連携データ	経理部門, 人事部門
fun-035	給与システムとの連携	給与連携項目設定機能	給与計算システムへの連携に必要な勤怠データ項目（基本労働時間、残業時間、深夜残業時間、休日出勤時間、各種控除時間など）を設定・マッピングできる。	連携項目マッピング設定	設定された連携項目定義	経理部門
fun-036	システム管理	従業員情報登録機能	新規従業員のID、氏名、部署、役職、雇用形態などの基本情報をシステムに登録できる。	従業員基本情報	従業員データのシステム登録	システム管理者, 人事部門
fun-037	システム管理	従業員情報更新機能	既存従業員の部署異動や役職変更、退職などの情報をシステム上で更新できる。	従業員ID、更新項目、更新値	従業員データのシステム更新	システム管理者, 人事部門
fun-038	システム管理	従業員情報削除機能	退職した従業員の情報をシステムから削除（またはアーカイブ）できる。	従業員ID	従業員データのシステムからの削除/アーカイブ	システム管理者, 人事部門
fun-039	システム管理	勤務時間ルール設定機能	所定労働時間、休憩時間、フレックスタイム制度などの勤務時間に関するルールを設定・変更できる。	勤務時間ルール定義	勤務時間ルールのシステム登録	人事部門
fun-040	システム管理	休日・休暇ルール設定機能	法定休日、会社休日、有給休暇付与ルール、特別休暇の種類と付与条件などのルールを設定・変更できる。	休日・休暇ルール定義	休日・休暇ルールのシステム登録	人事部門
fun-041	システム管理	残業・深夜労働ルール設定機能	残業時間の上限、残業単価、深夜労働の定義と単価などの残業に関するルールを設定・変更できる。	残業・深夜労働ルール定義	残業・深夜労働ルールのシステム登録	人事部門
fun-042	システム管理	ICカードリーダー設定管理機能	ICカードリーダーの登録、設定、状態監視を行える。	ICカードリーダー情報、設定値	ICカードリーダーの管理状態	システム管理者
fun-043	システム管理	スマートフォンアプリ連携管理機能	スマートフォンアプリからの打刻連携設定や、アプリ利用者の管理を行える。	アプリ利用許可設定	アプリ連携状態	システム管理者
fun-044	セキュリティ・データ管理	ユーザー認証機能	ユーザーがシステムにアクセスする際に、IDとパスワードまたは多要素認証による本人確認を行う。	ユーザーID、パスワード、認証情報	認証成功/失敗	全ての利用者
fun-045	セキュリティ・データ管理	ロールベースアクセス制御機能	ユーザーの役割（一般従業員、管理職、人事など）に基づいて、利用可能な機能や参照できるデータへのアクセス権を制御する。	ユーザーID、操作要求	アクセス許可/拒否	システム管理者
fun-046	セキュリティ・データ管理	操作履歴ログ記録機能	全てのシステム操作（打刻、申請、承認、データ変更、ログインなど）の詳細をタイムスタンプ付きで自動的に記録する。	各種システム操作	監査ログデータ	システム管理者, 人事部門
fun-047	セキュリティ・データ管理	監査ログ検索・参照機能	記録された監査ログを、ユーザー、操作種別、日付などで検索し、詳細を確認できる。	検索条件（ユーザー、操作種別、期間など）	検索された監査ログ一覧	システム管理者, 人事部門
fun-048	セキュリティ・データ管理	データバックアップ設定機能	重要な勤怠データの自動バックアップのスケジュールや保存先を設定できる。	バックアップ頻度、保存期間、保存先	バックアップ設定	システム管理者
fun-049	セキュリティ・データ管理	データ復元機能	バックアップされたデータを用いて、システムデータを過去の時点に復元できる。	復元対象日時	システムデータの復元	システム管理者
fun-050	従業員情報管理	個人情報参照機能	従業員が自身のシステムに登録されている基本情報（氏名、所属、役職、連絡先など）を確認できる。	従業員ID	自身の基本情報	一般従業員
